; 构件内力数据
; 工况名称 数据数量
; 内力分量，按构件局部坐标系，拉负压正
; Time(s)		F2(kN)		F3(kN)		F1(kN)		M2(kN.m)	M3(kN.m)	M1(kN.m)	
*CASE CASE_1 N=1773
0.690		-2.891321	8.667600	1244.810181	-21.864361	-10.828771	0.187966	
0.700		-0.479064	7.501116	1242.621216	-20.427116	-5.231384	0.249336	
0.710		1.835420	7.835568	1242.145020	-21.640352	1.349081	0.372131	
0.720		3.513723	8.639784	1254.215332	-23.425243	6.671483	0.460441	
0.730		3.515797	7.188705	1258.024170	-21.539005	8.883974	0.467833	
0.740		3.195683	6.320960	1239.548950	-20.296003	9.927547	0.440604	
0.750		3.541625	7.323767	1199.568604	-22.403347	11.839453	0.465710	
0.760		4.118846	10.855005	1167.982422	-28.753521	14.124767	0.569598	
0.770		4.713804	11.674341	1159.746826	-31.269505	15.353112	0.534850	
0.780		4.909625	9.376814	1160.285889	-28.126287	16.210333	0.442404	
0.790		6.669651	8.965018	1154.441650	-26.634987	20.407307	0.289703	
0.800		8.640428	8.447909	1142.411255	-25.675373	25.608351	0.327098	
0.810		9.636287	8.267375	1118.385864	-25.439678	29.547543	0.405499	
0.820		8.919319	8.364889	1069.734009	-25.816246	30.667997	0.495620	
0.830		8.340395	8.477042	993.722290	-26.179159	31.002422	0.571582	
0.840		9.937642	8.433846	926.301880	-26.009499	35.199623	0.591914	
0.850		13.137696	6.789714	892.575562	-23.459475	42.103832	0.489084	
0.860		14.365143	6.416544	884.332764	-22.023439	47.029301	0.411066	
0.870		16.278593	6.017757	875.367249	-20.051979	53.000225	0.274609	
0.880		15.650171	6.285490	853.064209	-19.445948	56.152710	0.198864	
0.890		17.027283	6.146132	835.327942	-18.704157	61.601017	0.107450	
0.900		15.901159	6.639691	818.021179	-17.375988	62.382698	0.073903	
0.910		15.811551	3.988271	791.378113	-12.287367	62.391499	0.051665	
0.920		16.443617	3.250598	738.181702	-9.282978	63.069408	-0.034321	
0.930		17.462858	3.312253	687.904724	-6.588203	64.154999	-0.195144	
0.940		16.733185	2.502027	654.555786	-3.607134	64.135994	-0.351780	
0.950		17.243969	3.427258	629.466125	-3.834530	68.206276	-0.423815	
0.960		18.182432	1.130720	592.377625	-1.645731	73.205841	-0.472080	
0.970		19.832689	3.352049	553.909180	-4.449497	79.292053	-0.649146	
0.980		20.773319	2.286750	537.466064	-3.391327	82.771523	-0.650844	
0.990		21.874266	2.903260	522.896301	-2.914972	85.648651	-0.798735	
1.000		22.113531	0.599608	501.457642	0.824401	86.632347	-0.698586	
1.010		19.698359	0.033628	483.944305	1.747864	83.244637	-0.754201	
1.020		18.025787	3.358686	476.086792	-2.837179	80.323494	-0.691885	
1.030		17.269218	2.900867	458.875702	-3.317514	77.557274	-0.181699	
1.040		16.305288	4.567733	444.602173	-5.130240	74.503365	-0.036556	
1.050		17.007545	3.063963	440.307648	-2.674723	74.097702	0.088956	
1.060		14.768315	0.781467	454.465118	1.016528	69.427910	0.050956	
1.070		13.946290	-1.011944	470.056885	5.609950	64.629570	-0.245799	
1.080		12.071329	-2.571897	493.930573	9.143286	58.638943	-0.547730	
1.090		10.738078	-2.229859	503.143494	10.245160	55.046169	-0.334010	
1.100		12.300514	-2.848485	510.226959	10.720206	55.924171	-0.477617	
1.110		12.133517	-2.140383	522.439026	10.354344	54.553158	-0.514170	
1.120		12.083286	-0.936860	550.442993	10.349723	53.868454	-0.683702	
1.130		11.070437	-2.104009	577.239075	12.312095	51.615887	-0.844013	
1.140		11.470252	-3.197026	612.097717	14.947696	51.696587	-0.835051	
1.150		11.932754	-2.805602	638.869324	15.635529	51.254749	-0.811763	
1.160		12.440495	-2.424226	668.216919	14.811666	50.903564	-0.381982	
1.170		12.035640	-2.875689	694.987671	14.471297	48.775032	-0.257693	
1.180		11.246582	-2.357762	716.781250	14.131680	46.370628	-0.155398	
1.190		9.026116	-2.944632	753.037231	15.116719	40.759789	0.115954	
1.200		9.097265	-3.392331	807.576416	15.102488	38.085129	0.196004	
1.210		6.678725	-2.917216	860.435608	13.984996	33.321793	0.354269	
1.220		7.610077	-0.582391	900.179688	10.010875	33.339806	0.521559	
1.230		5.287107	0.467290	912.848511	7.530281	28.383028	0.577411	
1.240		6.278756	-0.976750	931.617798	7.722471	28.353041	0.662487	
1.250		7.561504	-0.546493	956.281921	6.987280	28.673233	0.784196	
1.260		7.838811	-0.711450	987.505188	7.794405	26.802849	0.602992	
1.270		6.455088	-0.114141	1024.008423	7.238609	23.308283	0.531846	
1.280		4.709330	-0.214479	1068.642578	8.452692	19.153053	0.404427	
1.290		6.898449	-0.576473	1122.462280	9.788983	19.210344	0.357195	
1.300		7.032853	0.882905	1169.785400	7.850287	16.959412	0.602607	
1.310		5.960796	0.840450	1209.158936	8.919143	12.906639	0.331657	
1.320		3.972419	1.693727	1231.560425	9.057606	7.118958	0.363716	
1.330		0.533744	-1.387715	1243.450562	14.905452	-2.177896	0.239575	
1.340		-4.671106	-1.301444	1242.315918	17.739408	-15.387959	0.139257	
1.350		-4.574461	-4.220022	1238.725220	24.109182	-22.966438	-0.020091	
1.360		-7.798798	-3.233277	1238.979126	25.627518	-33.189335	-0.159340	
1.370		-8.326631	-3.561390	1246.922852	26.892813	-39.236256	-0.268204	
1.380		-12.580262	-2.247167	1263.987183	25.592129	-49.744625	-0.416423	
1.390		-13.701892	-4.832313	1291.324707	29.004541	-56.547295	-0.402118	
1.400		-16.454346	-5.543976	1328.599731	30.888899	-64.452065	-0.645914	
1.410		-18.111942	-7.348104	1356.128784	34.795078	-70.857246	-0.797535	
1.420		-19.531742	-3.137454	1355.731689	30.357841	-76.835403	-0.906036	
1.430		-20.419226	-2.155586	1336.020874	28.113691	-80.956924	-1.154337	
1.440		-21.210331	0.261778	1307.492554	23.837788	-83.166893	-1.225111	
1.450		-22.688072	-2.955758	1292.900757	25.021173	-85.552643	-1.354645	
1.460		-23.249998	-3.213495	1278.337524	25.384691	-87.754967	-1.256388	
1.470		-25.357954	-4.615316	1292.994751	27.551395	-92.402428	-1.245604	
1.480		-26.160337	-2.636599	1312.667603	24.947834	-95.000229	-1.149834	
1.490		-28.575647	-2.591702	1331.561157	24.842020	-99.028305	-0.936838	
1.500		-28.831247	-2.769153	1332.046997	25.210575	-102.538353	-1.255542	
1.510		-28.737398	-3.411012	1331.343628	25.970556	-106.663597	-1.434848	
1.520		-30.623423	-3.327941	1322.424561	26.765240	-111.925240	-1.521732	
1.530		-32.562031	-3.014451	1305.386108	27.293543	-116.801704	-1.723368	
1.540		-33.938007	-5.689751	1283.089600	29.515207	-118.626633	-1.727795	
1.550		-33.655521	-6.537425	1283.733154	31.548353	-117.401939	-1.910032	
1.560		-32.533035	-7.028487	1306.182617	34.159607	-115.132217	-2.004078	
1.570		-31.128061	-5.991534	1330.948120	34.258545	-112.942917	-2.012613	
1.580		-30.347082	-6.602042	1325.627075	35.467773	-111.044975	-2.126713	
1.590		-28.648754	-6.436945	1295.611572	35.277084	-108.204369	-2.070542	
1.600		-30.233278	-5.694870	1279.395386	35.024372	-106.955345	-1.838537	
1.610		-28.471010	-4.436316	1276.392212	33.257584	-102.151680	-1.698118	
1.620		-27.046322	-5.009633	1273.398315	33.928177	-98.837883	-1.596641	
1.630		-26.673410	-5.243567	1259.104736	33.236942	-95.755280	-1.659351	
1.640		-24.301670	-5.624381	1233.580811	31.333555	-89.328705	-1.626190	
1.650		-22.540136	-4.648060	1192.457520	28.135536	-84.070641	-1.548077	
1.660		-22.852238	-1.632301	1155.537231	22.706627	-82.767975	-1.658340	
1.670		-23.478018	-0.410412	1139.400391	19.102543	-81.949226	-1.483311	
1.680		-24.102404	-1.211901	1143.959717	19.065754	-81.405037	-1.188646	
1.690		-21.992224	-2.482801	1150.557007	20.327917	-77.076416	-1.034178	
1.700		-21.171516	0.054638	1149.015991	15.984368	-72.777138	-0.818717	
1.710		-19.009190	1.942547	1146.041138	11.270695	-65.157707	-0.662287	
1.720		-17.900156	-0.108183	1123.720215	12.041954	-60.348938	-0.569782	
1.730		-16.576502	-0.788414	1089.092529	14.394224	-54.717354	-0.421767	
1.740		-15.998358	-0.630213	1059.071655	14.742004	-50.476337	-0.075037	
1.750		-14.081995	-3.481593	1052.844727	17.375244	-44.479553	-0.003235	
1.760		-13.032377	-4.296621	1049.045288	18.671171	-40.375103	-0.029944	
1.770		-11.771769	-4.674238	1041.576782	20.926855	-36.742992	-0.081858	
1.780		-11.694520	-4.110413	1024.514160	22.208933	-35.094982	-0.086990	
1.790		-13.536927	-4.132225	1008.635620	24.202635	-36.445599	-0.150472	
1.800		-12.717138	-3.147035	987.012878	23.953657	-35.114635	0.178140	
1.810		-11.523211	-4.631983	985.592957	26.177385	-34.698433	0.379273	
1.820		-13.576657	-4.783287	999.165222	27.114614	-39.354496	0.312002	
1.830		-18.022276	-3.976116	1015.098938	27.687119	-47.768082	0.110903	
1.840		-18.094179	-2.980047	1006.282288	26.780449	-51.463230	-0.190760	
1.850		-17.574793	-3.170240	960.278564	25.333216	-53.496727	-0.342550	
1.860		-15.413197	-1.937873	917.829346	21.179712	-49.904743	-0.245054	
1.870		-13.510252	-0.775041	877.801758	15.632308	-42.413639	0.055400	
1.880		-12.433484	-0.916237	848.576233	12.116345	-35.218792	0.191148	
1.890		-11.029448	-2.414016	848.937134	12.980721	-30.122133	0.311484	
1.900		-10.019516	-0.224254	860.780823	9.020700	-26.645287	0.481288	
1.910		-7.976873	0.509703	880.761963	4.981797	-22.154547	0.811861	
1.920		-6.862936	1.782207	887.514282	1.590930	-16.282454	0.800414	
1.930		-5.238764	1.232867	881.042786	1.643360	-11.067746	0.816465	
1.940		-4.532103	-0.780291	870.776855	6.255095	-7.492376	0.582477	
1.950		-3.116367	-1.588868	856.887085	10.402561	-3.438513	0.630178	
1.960		-3.195660	-2.235688	851.235474	12.248095	-1.654998	0.826650	
1.970		-2.449846	0.620749	878.482300	8.412484	0.688855	1.215810	
1.980		-4.350312	-1.317107	914.938843	11.482100	-2.162362	1.151879	
1.990		-5.654505	-3.260240	928.281982	15.234056	-4.140433	1.118059	
2.000		-5.118807	-1.429183	920.295532	13.520391	-3.908320	1.263977	
2.010		-5.982261	0.351647	900.194885	10.589478	-5.379788	1.557830	
2.020		-5.770643	1.933661	903.778259	6.686353	-4.811501	1.702741	
2.030		-4.351489	2.804596	919.593201	2.253628	-1.623628	1.722614	
2.040		-1.926519	2.478202	921.852600	0.005392	3.469909	1.608335	
